cluster,cluster_name,district,num_reviews,rating_overall,photos_count,instant_book,min_nights,extra_guest_fee_policy,nearest_poi_dist_km,bedrooms,baths
2,가성비 신흥형,Dongjak-gu,51,4.9,44,False,1,0,0.079,2,1.0
2,가성비 신흥형,Seodaemun-gu,21,4.95,60,True,0,0,0.02,2,1.0
3,프리미엄 비즈니스,Yongsan-gu,21,4.95,24,False,28,0,0.036,2,1.0
3,프리미엄 비즈니스,Yongsan-gu,54,4.94,30,True,1,0,0.086,1,1.0
3,프리미엄 비즈니스,Jung-gu,64,4.81,54,False,3,0,0.216,2,1.0
0,핫플 수익형,Mapo-gu,133,4.86,19,False,3,0,0.093,0,0.0
3,프리미엄 비즈니스,Jung-gu,58,4.76,19,False,1,0,0.038,2,1.0
1,로컬 주거형,Gwangjin-gu,79,4.92,52,True,1,0,0.372,1,1.0
3,프리미엄 비즈니스,Gangnam-gu,5,3.0,33,False,10,0,0.069,3,1.0
0,핫플 수익형,Mapo-gu,65,4.85,31,False,0,0,0.079,1,1.0
3,프리미엄 비즈니스,Gangnam-gu,47,4.89,22,False,1,0,0.241,2,1.0
3,프리미엄 비즈니스,Jongno-gu,48,4.9,20,False,2,0,0.15,1,1.0
1,로컬 주거형,Songpa-gu,108,4.85,20,True,1,0,0.028,1,1.0
0,핫플 수익형,Mapo-gu,81,4.84,15,True,1,0,0.046,1,1.0
0,핫플 수익형,Mapo-gu,98,4.91,21,False,2,1,0.019,1,1.0
3,프리미엄 비즈니스,Jongno-gu,41,4.73,21,True,1,0,0.13,2,1.0
3,프리미엄 비즈니스,Jongno-gu,189,4.89,42,True,1,0,0.064,1,1.0
3,프리미엄 비즈니스,Jongno-gu,159,4.81,33,True,1,0,0.023,1,1.0
0,핫플 수익형,Mapo-gu,89,4.97,44,False,3,0,0.059,2,1.0
1,로컬 주거형,Songpa-gu,50,4.94,25,False,5,0,0.167,1,1.0
3,프리미엄 비즈니스,Yongsan-gu,121,4.64,38,False,1,0,0.042,2,1.0
1,로컬 주거형,Seongdong-gu,35,4.91,53,False,2,0,0.078,2,1.0
3,프리미엄 비즈니스,Jung-gu,68,4.4,18,True,1,0,0.054,1,1.0
3,프리미엄 비즈니스,Jung-gu,17,4.88,40,True,3,0,0.043,1,1.0
0,핫플 수익형,Mapo-gu,151,4.74,13,True,5,0,0.036,1,1.0
1,로컬 주거형,Seongbuk-gu,164,4.76,64,True,5,0,0.122,3,2.0
1,로컬 주거형,Seongdong-gu,60,4.73,55,False,1,0,0.09,2,1.0
1,로컬 주거형,Gwangjin-gu,55,4.87,50,False,1,0,0.071,1,1.0
0,핫플 수익형,Mapo-gu,29,4.72,20,False,1,0,0.029,2,0.0
0,핫플 수익형,Mapo-gu,13,5.0,78,False,2,0,0.181,2,2.0
0,핫플 수익형,Mapo-gu,188,4.59,31,False,2,0,0.025,1,1.0
1,로컬 주거형,Songpa-gu,8,4.88,10,False,5,0,0.393,2,1.0
0,핫플 수익형,Mapo-gu,41,4.93,12,True,3,0,0.044,1,1.0
3,프리미엄 비즈니스,Jung-gu,48,4.75,34,False,3,0,0.044,1,1.0
1,로컬 주거형,Yeongdeungpo-gu,67,4.94,15,False,1,0,0.179,1,1.0
3,프리미엄 비즈니스,Jung-gu,74,4.62,31,False,1,0,0.104,1,1.0
3,프리미엄 비즈니스,Jung-gu,35,4.94,56,False,2,1,0.09,1,1.0
0,핫플 수익형,Mapo-gu,32,4.91,52,True,2,0,0.089,2,1.0
3,프리미엄 비즈니스,Jongno-gu,166,4.81,35,True,1,0,0.041,1,1.0
3,프리미엄 비즈니스,Yongsan-gu,57,4.81,32,False,0,0,0.049,0,1.0
3,프리미엄 비즈니스,Jongno-gu,217,4.84,76,False,2,0,0.036,1,1.0
3,프리미엄 비즈니스,Gangnam-gu,15,4.73,21,True,1,0,0.119,2,1.0
0,핫플 수익형,Mapo-gu,25,4.96,24,False,1,0,0.03,1,1.0
1,로컬 주거형,Gangdong-gu,119,4.94,85,False,6,0,0.089,1,1.0
0,핫플 수익형,Mapo-gu,88,4.77,130,False,1,0,0.079,2,2.0
0,핫플 수익형,Mapo-gu,39,4.92,18,False,4,0,0.06,2,1.0
1,로컬 주거형,Gangdong-gu,26,5.0,48,True,0,0,0.124,2,1.0
3,프리미엄 비즈니스,Yongsan-gu,32,4.75,44,False,1,0,0.194,0,0.0
0,핫플 수익형,Mapo-gu,113,4.9,27,False,2,0,0.205,1,1.0
3,프리미엄 비즈니스,Yongsan-gu,58,4.69,25,True,5,0,0.071,2,1.0
3,프리미엄 비즈니스,Jongno-gu,56,4.89,86,True,1,0,0.051,1,1.0
3,프리미엄 비즈니스,Gangnam-gu,72,4.81,19,False,2,1,0.236,1,1.0
3,프리미엄 비즈니스,Seocho-gu,59,4.61,20,False,2,0,0.017,1,1.0
3,프리미엄 비즈니스,Jung-gu,70,4.59,29,False,1,0,0.128,1,1.0
3,프리미엄 비즈니스,Jung-gu,23,4.96,83,False,1,0,0.085,2,1.0
3,프리미엄 비즈니스,Yongsan-gu,125,4.78,23,False,2,0,0.053,1,1.0
1,로컬 주거형,Seongbuk-gu,62,5.0,117,True,0,0,0.063,2,1.0
3,프리미엄 비즈니스,Jongno-gu,25,5.0,34,False,0,0,0.054,1,1.0
3,프리미엄 비즈니스,Jung-gu,68,4.78,77,False,1,0,0.085,2,1.0
0,핫플 수익형,Mapo-gu,69,4.84,21,True,1,0,0.029,1,1.0
3,프리미엄 비즈니스,Seocho-gu,127,4.8,22,True,2,0,0.143,1,1.0
3,프리미엄 비즈니스,Jung-gu,8,4.75,31,True,2,0,0.022,1,1.0
3,프리미엄 비즈니스,Gangnam-gu,6,5.0,9,False,7,0,0.108,1,1.0
0,핫플 수익형,Mapo-gu,75,4.95,67,True,2,0,0.071,2,1.0
1,로컬 주거형,Eunpyeong-gu,59,4.98,58,False,4,0,0.101,1,1.0
1,로컬 주거형,Seongdong-gu,108,4.93,15,False,1,0,0.092,1,1.0
3,프리미엄 비즈니스,Gangnam-gu,41,4.83,14,False,5,0,0.122,1,1.0
2,가성비 신흥형,Dongjak-gu,111,4.97,30,False,1,0,0.064,2,1.0
1,로컬 주거형,Yeongdeungpo-gu,8,5.0,33,True,1,0,0.065,1,1.0
3,프리미엄 비즈니스,Yongsan-gu,22,4.95,62,False,4,0,0.062,1,1.0
1,로컬 주거형,Gwangjin-gu,25,4.92,26,False,3,0,0.066,1,1.0
0,핫플 수익형,Mapo-gu,11,4.91,39,False,3,0,0.076,3,1.5
0,핫플 수익형,Mapo-gu,44,4.82,57,False,2,0,0.122,3,1.0
3,프리미엄 비즈니스,Jongno-gu,41,4.85,38,False,0,0,0.054,2,1.0
