,ttm_revpar
20128,87.1
6379,54038.5
7756,45588.5
37,476668.8
582,186534.5
13501,17419.8
4096,74189.7
720,171502.7
17631,4425.9
7803,45344.1
2377,100129.1
16250,14342.4
9844,33520.3
890,156428.5
573,187477.8
7122,49424.2
2284,102442.4
4279,72512.3
8893,38808.0
7642,46222.3
13070,19113.8
8892,38808.9
239,269285.1
9045,37953.2
13662,16823.6
13782,16442.1
1616,121342.8
10081,32202.9
1929,111565.5
1193,139137.3
7141,49271.3
3076,87488.8
9826,33629.1
2841,91068.6
14792,12599.2
5037,65188.1
10766,28955.8
18243,7438.4
9661,73782.4
13319,18050.7
2890,90500.7
8277,42586.4
6612,52700.4
10932,28107.3
8153,43317.3
4338,71990.1
11782,24340.6
14487,28203.5
10301,31110.6
3497,81387.7
13820,16285.2
915,154613.7
6906,50796.4
3787,77777.7
17780,4117.1
3192,85803.4
13977,36068.1
8479,41334.3
6973,50408.1
4789,67640.2
13183,18652.9
9648,34649.6
295,253241.8
13436,17673.7
1810,114788.0
18213,3118.4
6378,54047.2
1300,134156.9
19244,1250.4
17224,5443.6
14225,14723.6
17971,3685.4
555,191935.0
4648,68946.1
5077,64854.2
3665,79154.5
9647,34656.6
12281,22113.5
2702,93743.2
2638,94851.6
5600,60287.0
3235,85101.4
6931,50598.0
3257,84840.2
3567,80452.8
2421,99283.2
7883,44897.8
10193,31690.2
14065,15320.6
8064,43870.9
10507,30129.4
6756,51792.0
16337,7757.0
13378,30168.2
16537,7212.9
11962,23538.0
12974,19404.4
11017,27751.0
15651,9819.2
8516,41034.6
15644,9833.6
17486,4762.3
10243,31426.4
10138,31954.4
1633,120845.3
15601,9963.7
14998,11936.5
12432,21480.6
10471,30292.0
2044,108757.0
7161,49163.3
18678,2164.0
5067,64922.9
6194,55476.5
3049,87771.2
17581,4546.7
14912,12193.0
243,268103.7
106,353273.2
11041,41330.1
8594,40547.6
15218,11230.7
16102,18905.1
15294,10965.2
19419,996.5
9280,47728.0
11179,27012.8
5018,65405.3
8256,42712.3
3976,75644.9
12628,20662.2
5278,62978.0
8660,40133.4
6162,55740.8
10647,29457.0
12198,22513.4
9847,33514.7
10203,31626.2
29,497677.4
2861,90847.2
7740,45704.6
5190,63883.3
2986,88962.8
14495,13710.4
7887,44848.2
16641,6937.2
1259,136425.9
4162,73561.0
18058,3456.1
108,352118.6
6752,51811.4
5196,63848.4
16671,10538.6
12135,22836.9
6951,50514.5
7215,48802.9
17172,5573.6
13887,16009.3
10026,32507.7
4473,70614.3
10920,28142.4
4980,65775.1
7290,48362.4
11321,26368.4
18497,2526.2
4737,68126.7
13934,15791.7
6114,56141.5
982,150527.2
5405,61818.1
4423,71138.4
4860,67001.9
9115,37539.9
13418,17714.1
7489,47162.0
3161,86362.0
5191,63877.2
7318,48202.1
14863,12378.7
9366,36113.2
10,588024.7
2701,93763.0
12916,36051.7
1444,128242.0
16900,6293.0
3345,83528.2
15613,9925.0
13135,30143.8
15332,12831.7
19426,992.7
1229,137916.7
12850,19910.2
16363,7680.9
6111,56164.4
7217,48793.6
323,246245.0
1361,131418.0
14820,12510.1
918,154342.3
10677,29289.4
3483,81559.5
499,201577.1
9697,34374.3
8105,43655.3
10875,28392.8
5050,65082.6
14424,13990.4
3557,80622.1
15028,11845.4
6616,52691.0
4491,70408.9
1208,138468.2
9153,60485.8
1441,128321.9
5210,63613.7
256,264970.1
14168,14980.1
13129,35463.0
288,255400.8
6185,55558.0
10610,29590.2
6035,56655.1
11794,24297.9
6264,54881.6
1246,137140.6
9135,57122.9
2730,93174.2
1125,142396.4
4661,68873.6
14520,22029.3
267,260414.8
11462,25641.3
6246,55112.1
5055,65037.7
14682,13024.8
7487,47176.0
3121,86907.8
5896,57931.8
7971,44350.1
1396,129918.2
6069,56430.8
19787,526.7
7259,48574.3
5238,63316.0
6322,54435.5
3890,76646.8
626,181826.9
658,177299.2
6163,55738.7
8445,41552.8
3560,80517.9
9108,37581.7
5569,60496.0
8676,40054.6
10916,28165.2
12866,19860.1
2564,96494.1
7171,49098.4
12475,21249.3
6851,51073.4
15297,16814.7
8098,51631.2
11528,25311.4
5337,62420.9
3695,78778.5
6057,56510.0
17218,5454.9
5193,63866.1
12723,20352.2
1525,125146.1
5809,58633.7
15545,10105.4
4993,65632.4
11701,24656.0
13799,16363.3
6147,55849.6
18326,2862.3
737,169991.8
11388,26028.3
13758,16541.9
17267,5351.5
14881,30618.9
1770,115732.2
3956,75864.7
10067,32269.0
18345,5349.8
2767,92542.3
7021,124207.2
3472,81690.1
7330,48146.2
8809,39254.7
4905,66625.0
5380,62043.2
12324,21986.9
3201,85719.8
1169,140097.7
15257,11118.3
32,489627.4
10653,29439.3
12688,20455.6
1353,131636.5
15690,9698.9
9516,35307.4
14477,13814.2
9096,59011.5
1630,120860.1
948,152302.3
5116,64530.0
4131,73876.5
6332,54343.9
16431,14600.8
11841,24145.1
752,168521.1
4196,179566.8
6670,52357.0
2939,89690.5
8385,41898.5
1766,115796.9
13239,18398.5
2705,93691.6
5406,61810.1
3072,87514.1
1847,113774.2
10829,28651.2
1347,131898.6
14989,11959.9
966,151264.3
2143,106136.5
12960,19462.9
1681,118994.0
6660,52424.6
11810,45612.9
15394,10642.4
661,176670.8
11548,25222.0
13277,18234.1
5255,63132.7
7666,46085.2
2234,103594.3
3028,88144.2
7083,49635.4
14810,22218.0
12391,21656.1
5201,63717.9
8238,42848.3
1422,129045.8
6457,53577.8
2678,94304.3
10166,31839.2
9799,40307.1
12328,21968.8
15951,8836.7
3223,85301.4
9239,36891.5
2934,89720.7
4019,75130.1
9432,35732.3
17416,4977.9
8028,44074.0
8257,42711.5
76,391710.3
14663,13113.6
9277,36634.0
16448,7441.6
7644,46217.1
2299,102081.6
1800,115014.5
14409,14037.9
93,364995.4
10762,28963.7
4115,74028.8
10754,29004.4
5426,61605.3
6284,54659.9
3256,84851.3
6451,53619.0
1089,144822.1
2380,100097.3
14593,13406.4
1913,111999.8
8677,40037.0
15745,9505.0
11839,24153.1
5597,60306.8
14775,12655.6
5469,61192.4
2819,91443.9
17733,4216.2
10826,28663.5
4138,73791.7
3435,82149.7
1456,127719.8
1247,137124.9
8359,42087.3
4404,71356.6
4800,67555.0
8690,39953.8
3176,86007.3
2513,97558.0
6392,53948.8
16226,8094.3
451,211396.6
9944,32968.8
10245,31422.7
3714,78542.6
2358,100482.6
2220,103998.9
4611,69246.7
1918,111841.7
1168,345581.2
12749,35881.1
13467,17568.5
6117,56116.4
1753,116245.7
12408,21598.0
14529,13612.9
13549,37446.7
11621,24917.9
