,superhost,instant_book,bedrooms_group,baths_group,guests_group,min_nights,extra_guest_fee_policy,rating_overall,photos_count,num_reviews,nearest_poi_dist_km,district_listing_count,district_superhost_rate,district_operating_rate,district_entire_home_rate,ttm_pop,photos_tier,review_rate,poi_dist_category,room_type_hotel_room,room_type_private_room,room_type_shared_room,nearest_poi_type_name_레포츠,nearest_poi_type_name_문화시설,nearest_poi_type_name_쇼핑,nearest_poi_type_name_숙박,nearest_poi_type_name_여행코스,nearest_poi_type_name_음식점,nearest_poi_type_name_축제공연행사
8676,0,0,5,6,5,1,0,4.87,19,15,0.098,632,0.4477848101265823,0.9129746835443038,0.5474683544303798,427001,1,0.0810569826210749,0,False,False,False,False,False,False,False,False,True,False
10916,1,0,5,6,5,1,0,4.79,24,38,0.102,3589,0.3948174979102814,0.8927277793257175,0.5274449707439398,315657,2,0.2273135118303911,0,False,True,False,False,False,True,False,False,False,False
12866,0,1,5,6,5,1,0,4.8,59,176,0.148,816,0.4877450980392157,0.8884803921568627,0.8100490196078431,373225,3,2.5924288909643707,0,False,False,False,False,False,True,False,False,False,False
2564,1,1,5,6,5,1,0,4.9,19,62,0.082,6699,0.4597701149425287,0.8692342140618002,0.7180176145693387,467351,1,0.1979755398091275,0,False,False,False,False,False,False,False,False,True,False
7171,1,1,5,6,5,1,0,4.91,16,167,0.136,816,0.4877450980392157,0.8884803921568627,0.8100490196078431,373225,1,0.7427503969811848,0,False,False,False,False,False,True,False,False,False,False
12475,1,0,5,6,5,2,1,5.0,25,9,0.154,2640,0.4166666666666667,0.8897727272727273,0.5238636363636363,302528,2,0.1362294689135023,0,False,True,False,False,False,False,False,False,False,False
6851,0,0,5,6,5,1,0,4.35,13,23,0.052,1051,0.4081826831588963,0.8943862987630827,0.7136060894386299,516461,0,0.1257758448813286,0,False,False,False,False,False,False,False,False,False,False
15297,1,0,5,6,5,0,0,4.88,16,8,0.279,1034,0.4410058027079304,0.8839458413926499,0.8317214700193424,744624,1,0.13364516983553,0,False,False,False,False,False,False,False,False,True,False
8098,0,0,5,6,5,1,0,0.0,58,1,0.024,3589,0.3948174979102814,0.8927277793257175,0.5274449707439398,315657,3,0.0136304775624551,0,False,False,False,False,False,False,False,False,True,False
11528,0,0,5,6,5,1,0,4.43,3,35,0.112,2870,0.3898954703832752,0.8850174216027874,0.7641114982578397,293254,0,0.1514856406696286,0,False,True,False,False,False,False,True,False,False,False
