,log_target
8022,10.694405519487127
7662,10.738863196323583
6689,10.8629986804648
16232,8.99685007769011
428,12.28277856153206
13212,9.827140922610768
627,12.110647609130082
2126,11.57669243854151
5482,11.02004453445905
9905,10.41010935260403
18489,7.845729221687434
2424,11.504917486528692
10717,10.279087778231657
2382,11.513736136287424
4934,11.100828414064017
265,12.475313977896255
6607,10.8733910866584
19129,7.258271295605286
4901,11.107279340479588
12729,9.920084065343392
3940,11.238951669938693
12258,10.009184511590528
6675,10.865351852304778
19672,6.498432740546668
6056,10.942461295554859
8531,10.61944753116123
10472,10.318569602596224
3630,11.28437859197038
12026,10.053828125974904
5420,11.029338802590987
11075,10.218261795359789
2120,11.578454745143937
17807,8.309873775448914
2175,11.561703248110636
19115,7.2693381592734525
18072,8.139323794898873
11640,10.121071678845102
11817,10.094566484670274
4774,11.124296824747743
1095,11.882256185651666
1693,11.683499961091604
11222,10.19593326083693
15513,9.23037826571269
6480,10.887367771614008
5797,10.980695732220552
10594,10.99930427056877
14029,9.645189509772505
1522,11.737724445305401
10867,10.940460225288858
1999,11.605161834547474
17949,8.222258213452887
2661,11.45689676570358
4982,11.093780715767794
4717,11.131997347587884
18074,8.138506324340678
316,12.421548071777329
4132,11.210063424251391
700,12.064634073396538
15727,9.166158572961908
14329,9.568972399576746
15669,9.187491309003462
3953,11.237557923147268
6091,10.938183348788904
11650,10.120146121734532
3034,11.385301162512977
4959,11.097510016008895
9686,10.446770685850653
4891,11.109368535131365
4574,11.150720975519965
17883,8.268936939286952
3168,11.364041392189213
2944,11.403361683510088
8872,10.568986005499951
3348,11.332658196680018
6792,10.850549943077036
12569,10.858995151402322
13492,9.768228954865663
13804,9.701946478404333
6073,10.940201387575113
3322,11.336787152460198
9707,10.442906464040822
7703,10.734867245619865
3174,11.362638478125664
7561,10.75173710277999
9985,10.395546172562694
13945,9.6640939311152
4933,11.100835963940387
3653,11.281323743976433
1482,11.748418842282826
15996,9.0730648359293
8960,10.556031464653525
376,12.34179513594576
9111,10.53379077537457
12334,9.99682305667843
2253,11.544274896088268
13116,9.847176426705119
14849,9.425629155211015
11329,10.178768042270166
11729,10.81077386604081
7827,10.719288111577313
8909,10.564617611662456
3740,11.267512020160254
4213,11.20026740644827
15972,9.079285909226552
6366,10.89898125498791
4120,11.211290502100214
7286,10.78811216333127
9475,10.477223184632232
3309,11.339176656935427
2436,11.503244757765337
16826,9.682940627069184
17379,8.531786193719137
2532,11.483997043996656
9200,10.519713191179841
5505,11.017953505127405
5088,11.078023307208372
10088,10.378690143728097
8974,10.554246408354189
8839,10.5742203982589
2076,11.589625360899804
4969,11.096559659553723
1268,11.819244043887034
961,11.928853643745162
10226,10.357907890554705
12900,9.8901844574451
4365,11.181347233147324
5729,10.987595155001356
3241,11.35100635554442
2997,11.393168482361832
11098,10.21506679934994
3493,11.307666035129568
10732,10.463825936479019
1742,11.667827005688023
12305,10.909651894632825
11772,10.101264063884942
11137,10.209581579864944
10733,10.27766493133599
3935,11.239944138433701
13994,9.651076094166266
7285,10.788359854131855
16582,8.864506451215325
18948,8.185015719077892
6314,10.90565318251903
5720,10.98900784715793
18387,8.52090628932812
8185,10.672201283863787
11781,10.10017213216585
2615,11.465371486408424
15739,9.160971540411063
8155,10.676159614412988
15261,9.315249785902921
1555,11.725061454759823
1067,11.889389408661305
1159,11.851950868057726
6674,11.390015182419463
1965,11.613234945601345
14851,9.425556584807612
1042,11.900856410868624
10184,10.365833813828836
13555,9.753960334683999
10824,10.263453076572926
6126,10.933112326845794
15322,9.295866479832835
13323,9.800296903236855
5576,11.009712458234084
15215,9.327750004592994
2593,11.471398013340277
96,12.80316779618304
15666,9.31385318167622
3205,11.357139114830002
2522,11.48568581142324
2739,11.440055802717307
2570,11.475187252369759
2680,11.45319032244977
3873,11.248909136596353
19754,6.344407535957036
2277,11.538191571618027
12561,9.950404534823878
6924,10.833053773860279
4883,11.109952249517042
8683,11.169120207350224
3098,11.376719642100328
5276,11.051235977264524
1053,11.896562736429441
8697,10.594600164764884
2433,11.503432549486698
4914,11.10540524656878
9749,10.435743889311915
1611,11.707812741385728
3708,11.272112983408427
2435,11.503259903566391
3155,11.366843644167247
19270,7.098127673965803
16624,8.849513965486398
5452,11.024513436041138
9361,10.495506913594522
18068,8.141102402514251
17862,8.798892402190159
8749,10.587071652251941
11771,10.10133791094771
3104,11.375904562510431
18936,7.435909884869902
2964,11.400420600229857
3,13.42139198378181
12164,10.444168051214678
2506,11.490323964480167
13391,10.539929451870151
13584,9.748323859784492
4048,11.221270176405426
11170,10.20551621869483
8046,10.69120600361052
6568,10.876589526882114
9640,10.45444020939261
16159,9.023118829838037
441,12.273151686811852
10047,11.294794330479554
10854,10.257543570078939
13494,9.767719374456876
19773,6.289715570908998
3984,11.232618793922644
17808,9.04472252815246
9887,10.413534873503057
13648,9.734530294350227
13816,10.218852883087846
88,12.81645161594008
14017,9.646825996672288
2627,11.46252861076535
6858,10.840780192281946
17652,9.06274482689731
9424,10.485161126066883
10545,10.305978241442103
13057,9.860031884607354
